Date,RA-DRL,PPO-log_return,PPO-dsr,PPO-mdd,Market Index,1/N Strategy,MVO
2022-07-08,1129955.8859443825,1117111.2130647905,1103887.2982562871,1096950.9735627966,1036866.8540873864,1072591.2471683086,771928.3987544079
2022-07-11,1123426.8521353882,1112974.0418164555,1099780.260447904,1089316.7784923848,1031430.4081673799,1066305.475347112,765115.8864464689
2022-07-12,1106314.7664985836,1108125.2513667562,1098717.6990252214,1084068.9085756522,1025060.9513686659,1061027.9034680766,751112.3462159976
2022-07-13,1101720.5488347164,1097377.0694733958,1092768.203948698,1078366.7074125463,1018161.0780792721,1055248.9501790702,746083.9214684896
2022-07-14,1100510.8337137431,1076238.0170738401,1092664.781598566,1074893.0319142581,1013442.322893365,1050023.6632142223,735000.1117365713
2022-07-15,1117757.856022801,1094135.7790518287,1113377.8972392383,1093526.5533034792,1035216.152474579,1069468.8826766976,744245.5406046197
2022-07-18,1108511.555203213,1092419.3589466074,1102425.9396059872,1085591.850913649,1028081.0554977979,1062664.1050190243,754680.8096198866
2022-07-19,1130726.5882588446,1122848.2206021291,1123173.8126995869,1113164.059297202,1053042.8122620299,1088194.5716803044,781877.0940670868
2022-07-20,1133684.4866541799,1124635.2843112166,1119565.9693536996,1114103.59275399,1054623.9807188953,1090867.622495267,792203.8725698187
2022-07-21,1139206.9146277236,1127083.0350210646,1124011.6275372163,1116910.2317857842,1059985.982219157,1094531.5515486246,786148.4395382373
2022-07-22,1131524.9902580862,1125316.6120990657,1116107.7009669992,1106049.3063184926,1055432.9175646955,1087107.5407662345,779606.2886625547
2022-07-25,1131467.602974943,1135188.7234258053,1119007.01660937,1108606.984169267,1058435.5091610579,1090261.7183784721,802801.300787834
2022-07-26,1119179.8229105005,1144996.2938606455,1115827.4218551177,1102178.3076317667,1050875.264755892,1082132.8311616417,796529.3672028941
2022-07-27,1150996.7463942834,1142019.4847184697,1126841.5432632451,1120531.7395975452,1065302.6191511373,1097672.5197090618,807018.6412385727
2022-07-28,1166458.6365887497,1145735.6131225696,1134071.9588619692,1133129.9868776368,1076288.663924286,1108242.545536855,813128.1273377368
2022-07-29,1167428.0291997502,1160578.5800973333,1132383.2956233996,1141195.1714572872,1086727.3612710144,1117045.4271265531,885525.3165958452
