,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2023-09-14,0.03761179,0.05043705,0.004927621,0.012687218,0.019549776,0.051760565,0.00470392,0.008304248,0.02382823,0.01781239,0.029055446,0.043255143,0.015379253,0.029346555,0.029460194,0.018304685,0.01788461,0.024311082,0.038225822,0.013587567,0.020858992,0.24890843,0.011187247,0.117565595,0.015588009,0.049366593,0.012349376,0.017712258,0.016030386
2023-09-15,0.037418712,0.050100874,0.0047067525,0.012432292,0.01946363,0.05058788,0.0044870744,0.008087968,0.023165558,0.01726999,0.028697798,0.04270524,0.015129244,0.02895181,0.02900006,0.01810129,0.017595533,0.023834549,0.037651457,0.013474948,0.020729382,0.25541967,0.01108345,0.12041158,0.015260869,0.049114242,0.012052527,0.017340567,0.01572502
2023-09-18,0.037579123,0.0502796,0.0047176457,0.012419963,0.019429382,0.050845806,0.0044984585,0.008077084,0.023153765,0.017333785,0.028738303,0.042745814,0.015115503,0.0290101,0.029041138,0.018087968,0.017574988,0.023817642,0.037578825,0.013463971,0.020715697,0.25495362,0.011106696,0.119991854,0.015293996,0.04932394,0.012066402,0.017335575,0.015703266
2023-09-19,0.03762823,0.050322626,0.0047177374,0.012415978,0.019418167,0.050878678,0.004499126,0.008070205,0.023147132,0.01734457,0.028751465,0.042752184,0.015107751,0.029021088,0.029045345,0.018083973,0.017566033,0.02381069,0.037557147,0.013456771,0.020713408,0.25492448,0.011107105,0.11988801,0.015301625,0.04937813,0.012066921,0.017330302,0.015695117
2023-09-20,0.037694175,0.050332267,0.0047131926,0.012412502,0.01940311,0.050868813,0.0044962084,0.008060609,0.023134984,0.017343473,0.028758064,0.042749677,0.015093287,0.029021703,0.029040938,0.01808063,0.017557524,0.023811856,0.03753251,0.0134467315,0.020709177,0.25503102,0.011103087,0.11983584,0.015301109,0.049391653,0.012061785,0.017325861,0.015688179
2023-09-21,0.037580464,0.050326113,0.004726543,0.012425945,0.019448249,0.050777487,0.0045030387,0.008081414,0.023189213,0.01734134,0.028788455,0.042793676,0.0151244365,0.029019944,0.029014094,0.018116215,0.01759258,0.023838034,0.037603702,0.013469805,0.02074727,0.25460508,0.011103967,0.11997238,0.01530944,0.049334444,0.012079799,0.0173563,0.015730571
2023-09-22,0.0374729,0.050284263,0.0047318684,0.012434415,0.019476628,0.05073669,0.0045056203,0.008097137,0.023215497,0.017333323,0.028781105,0.042803597,0.015145971,0.029007832,0.029003767,0.018128235,0.017611548,0.023842977,0.037648275,0.01348529,0.02075723,0.25449207,0.011104385,0.12011407,0.015306068,0.049277395,0.012086006,0.017366784,0.015749026
2023-09-25,0.037369646,0.050201938,0.0047252765,0.012438504,0.019495593,0.05057509,0.004499281,0.008102428,0.023222394,0.017296316,0.028759649,0.04278662,0.015154977,0.028982243,0.028978828,0.018142004,0.0176231,0.023841303,0.0376852,0.013489767,0.02077254,0.25473285,0.011089672,0.120360844,0.015288117,0.049174786,0.012080243,0.017368466,0.015762333
2023-09-26,0.037366003,0.05019947,0.004725501,0.012439525,0.019500684,0.05053561,0.004498902,0.008102987,0.023229355,0.017291442,0.02876661,0.042794965,0.015155942,0.028979374,0.028968364,0.018150149,0.017628333,0.02384706,0.0376921,0.013490198,0.020781823,0.25469452,0.011087106,0.120399825,0.015287531,0.049160495,0.012081242,0.017373856,0.015771044
2023-09-27,0.03735427,0.050155956,0.004715223,0.012436269,0.019494575,0.050441206,0.004491143,0.0080955485,0.02321195,0.017265718,0.028748041,0.042766437,0.0151474895,0.028964316,0.028958531,0.018148335,0.017621255,0.023838453,0.03768828,0.013482372,0.020782765,0.25502375,0.011074676,0.12050527,0.015273297,0.049116496,0.012070049,0.0173639,0.015764505
