,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-07-31,0.0299828,0.05662312,0.20895271,0.015356418,0.0008518389,0.0010128063,0.005670464,0.0075759413,0.015059135,0.0031782228,0.010323699,0.0024176233,0.05132643,0.037412386,0.0033561764,0.0014425087,0.024143703,0.19386166,0.011468799,0.117955305,0.00047821217,0.017219136,0.0011664475,0.005487876,0.15063086,0.0037499883,0.0054979026,0.0025840653,0.015213696
2019-08-01,0.037091497,0.054985695,0.23063216,0.017654514,0.0007183162,0.00080860767,0.00802387,0.007804197,0.013035368,0.0032448068,0.008746436,0.0021940747,0.048206154,0.029767957,0.003970064,0.0014956833,0.019928299,0.20051536,0.011217116,0.11061599,0.00041695943,0.019635156,0.001076451,0.005257875,0.13626276,0.003833339,0.0045850826,0.0030110627,0.015265151
2019-08-02,0.033020698,0.058172032,0.23031048,0.015249397,0.0006395149,0.00075656566,0.006882075,0.0071145394,0.013139181,0.002935586,0.007644437,0.0020635508,0.04901519,0.029146444,0.0034257432,0.0013209255,0.019790158,0.20359598,0.010728325,0.11804517,0.00036001613,0.01877874,0.0009825417,0.004605094,0.13751875,0.0034090355,0.0046496694,0.002671582,0.014028441
2019-08-05,0.02174478,0.056993473,0.40123346,0.017807452,0.00027314082,0.0002956837,0.003124295,0.0034839509,0.007100559,0.0032190809,0.002473715,0.0015987529,0.06461968,0.03178131,0.0019466843,0.0004133859,0.02123448,0.15504211,0.008309485,0.08503999,0.00015258258,0.0128263105,0.001082581,0.0019336481,0.07850646,0.0011382772,0.005685002,0.001245499,0.009694249
2019-08-06,0.022303713,0.06078308,0.29342148,0.015087889,0.0004828202,0.00058341527,0.003453125,0.0048245615,0.010492469,0.003208599,0.0047192094,0.0020372136,0.06411703,0.038460027,0.0022246859,0.00069825054,0.025270171,0.17510293,0.009889136,0.10849936,0.00025562706,0.014336503,0.0011299552,0.0030573993,0.11375219,0.0019084332,0.006290091,0.0015838336,0.0120267505
2019-08-07,0.01952682,0.06141038,0.30589733,0.01426447,0.0004300229,0.0005444993,0.0028782033,0.004518072,0.0100812055,0.0030570019,0.0042019007,0.0019161522,0.068496905,0.03956724,0.0019392462,0.0005775859,0.02551977,0.16659884,0.00918459,0.112179115,0.00021311767,0.013436337,0.0010762949,0.0026369782,0.10916281,0.0016134673,0.0063164625,0.001322183,0.011432979
2019-08-08,0.018198721,0.062104855,0.25623187,0.012499623,0.0005450434,0.0007652387,0.0027849567,0.005268767,0.012418461,0.0028434726,0.005928481,0.002041167,0.06674655,0.0431195,0.0019177863,0.0007037253,0.027141465,0.17115092,0.009182942,0.12914358,0.00025434722,0.013343302,0.0010372093,0.0031320215,0.12958235,0.0019496123,0.006345926,0.0013569026,0.012261094
2019-08-09,0.014567606,0.061602946,0.20253336,0.009651166,0.0006025064,0.00089934684,0.0020585996,0.0054532317,0.014115994,0.0024144324,0.0076970207,0.0019453588,0.067276865,0.0498293,0.0015524336,0.00070982584,0.032007687,0.16614495,0.008806819,0.14757274,0.0002548392,0.012119759,0.0008294262,0.0033360464,0.16403313,0.0021289173,0.005920236,0.0010662777,0.012869133
2019-08-12,0.012931401,0.058400568,0.19775565,0.008082835,0.00046292518,0.0006933156,0.001560169,0.0043902453,0.012141824,0.0018776546,0.0067125596,0.0015315767,0.0658333,0.04862239,0.0011598952,0.0005362261,0.030163327,0.17491382,0.007850618,0.14967622,0.00017908191,0.010492969,0.00059052854,0.002843263,0.18137135,0.0017974098,0.0049493755,0.0008028608,0.01167677
2019-08-13,0.013602249,0.059319567,0.2078733,0.009300584,0.0005262744,0.00080086204,0.0018250087,0.0050285743,0.012969238,0.0022509452,0.007358669,0.0017434454,0.06765691,0.049805485,0.001344565,0.0006128193,0.03207308,0.16718869,0.008135526,0.14645265,0.00021021193,0.011259388,0.00072550675,0.0030404762,0.16793784,0.001920324,0.00548988,0.00091369526,0.012634229
