Date,PPO-log_return,PPO-dsr,PPO-mdd,Market Index (^DJI),1/N Equal Weight
2021-03-09,1104696.52895585,1057579.3179530324,1052582.0449944066,1053231.055833832,1061825.4388413238
2021-03-10,1121463.0016317945,1071510.435398503,1066469.0093858375,1068592.3904361667,1076784.1907046316
2021-03-11,1119734.2768233349,1076067.9807117397,1071125.663893945,1074831.5048784357,1081248.1229014527
2021-03-12,1129914.8067760551,1083992.803249467,1079275.529857984,1084527.5028188068,1088530.2342370802
2021-03-15,1137033.134277062,1090514.8128555992,1086603.7637248132,1090311.679140415,1094826.1472992892
2021-03-16,1127768.7578522603,1089819.1909211327,1084857.3348810615,1086092.774290206,1092062.694160892
2021-03-17,1134958.0689022306,1095070.3196691559,1092634.0259598955,1092360.063877448,1098812.9400311525
2021-03-18,1135934.1073241376,1091259.9749077072,1083399.2156714099,1087295.5169467037,1091175.3145556243
2021-03-19,1115541.8071362318,1085381.166862573,1079137.76895514,1079542.3761935018,1083169.8313913152
2021-03-22,1111093.635408612,1090810.0492824202,1084064.8627910558,1082957.8370587423,1088169.9167087215
2021-03-23,1104476.9070046502,1082262.2136836224,1074256.4864857413,1072765.6076086333,1078197.606009663
2021-03-24,1110042.2579213346,1081599.693587485,1074240.4648603154,1072663.3757752688,1078327.8813033658
2021-03-25,1124138.835881759,1090618.3781633396,1077967.7294531518,1079261.464828372,1085506.6758843279
2021-03-26,1131767.1535263814,1107745.930578768,1096859.5770575523,1094262.7908695987,1103127.826491254
2021-03-29,1135946.0918973323,1111163.072591829,1101456.3751225134,1097521.5436464015,1106347.7329060694
2021-03-30,1136142.1234679853,1104942.3309593205,1096275.5258158888,1094066.9865364165,1101576.2255651583
2021-03-31,1120461.9581012493,1102781.4817199758,1095603.922562852,1091241.071193163,1098042.4398300287
2021-04-01,1120772.5669928838,1108033.4666875522,1100128.2097668832,1096920.6892932898,1104000.4486526344
2021-04-05,1125793.0837825919,1122885.9663177354,1113260.0915522408,1109294.3599563465,1116509.7176218538
2021-04-06,1129415.3774968786,1117579.962274494,1110002.0731315594,1106086.5292305497,1113873.0247848695
2021-04-07,1131156.3082142002,1121052.1409647206,1111971.1798587127,1106616.6872336608,1114971.1874831466
2021-04-08,1132088.2170757097,1124953.7417810867,1112159.2307055222,1108512.8227928134,1115418.967926844
2021-04-09,1138097.0445555188,1133744.7612498943,1121891.6276883497,1118340.5201493644,1123830.4055144824
2021-04-12,1139606.3002014342,1129164.2028817434,1118870.5277908372,1116514.0469899382,1120748.5696268445
2021-04-13,1133249.5153421578,1126591.2748337274,1118061.6827761522,1114259.9061483336,1117988.5457366197
2021-04-14,1145111.7435551963,1125802.7085767116,1115786.5617352927,1116034.035575127,1119370.2359526
2021-04-15,1148891.1348052002,1137517.0159106262,1124796.7377386154,1126128.6213462136,1127534.6252784568
2021-04-16,1158141.0400687056,1142682.1339757193,1128963.9839090349,1131577.4100476187,1133385.7737912377
2021-04-19,1157297.5921020675,1139048.5156178433,1124724.2115957057,1127506.3600866245,1129534.3688133147
2021-04-20,1151561.8931735735,1133727.851043061,1114544.068340904,1119025.3829622571,1121024.7941173026
2021-04-21,1163696.6674319545,1144116.6928698781,1125052.8136779896,1129480.946622834,1132272.3928918825
2021-04-22,1155574.3186977487,1132234.2340394498,1110884.426043764,1118846.6388086,1120058.6668537962
2021-04-23,1167747.8332842507,1136765.978075081,1114925.6614561647,1126376.7694120286,1125168.4408694257
2021-04-26,1160036.1785031306,1135005.6596254755,1111039.537428415,1124328.1261874272,1122785.906531775
2021-04-27,1154426.478854911,1132386.747304576,1111414.895217807,1124439.275841907,1122249.9477541146
2021-04-28,1154976.798914577,1126497.0378864626,1109124.8522134295,1118994.8814291675,1118881.0817059753
2021-04-29,1170312.4003908536,1133805.2185154355,1114853.8069433926,1126934.9733163284,1126559.6202251103
2021-04-30,1160529.9739984437,1128734.7398002318,1107545.2050331144,1120797.1860009336,1119716.159880246
2021-05-03,1170529.6768414832,1138457.082341039,1115111.1274854136,1128684.28793654,1128301.9082966668
2021-05-04,1173017.4125266185,1137536.8461585117,1115382.5450373697,1129339.4246790488,1128499.7120548987
2021-05-05,1182972.3732263357,1139978.4598089298,1119764.057156108,1132559.0165892153,1132735.5781393666
2021-05-06,1195638.4308747917,1152874.5575522687,1129753.6837628563,1143086.8275252038,1143741.087532369
2021-05-07,1201271.739148566,1159537.8351375612,1136775.6766009312,1150671.2405180298,1151068.5803334622
2021-05-10,1207143.65612322,1155989.302877814,1134868.9946095538,1149515.154867657,1149290.0028920802
2021-05-11,1181251.8165422343,1139646.405452353,1122070.783246109,1133843.441317377,1135050.8045350001
2021-05-12,1162698.1407050758,1120167.6719170315,1102829.503405712,1111295.0537369805,1114883.1927839944
2021-05-13,1183612.6571224437,1135623.2406339562,1115055.951424124,1125647.5759811285,1128778.0549435986
2021-05-14,1199801.6016618107,1146985.6558334287,1128909.815048639,1137581.1715587163,1141199.0617704745
2021-05-17,1199845.775572481,1145421.1613094937,1128716.88870977,1135783.2612756155,1140345.480112565
2021-05-18,1185976.6721385792,1136571.3404961322,1117828.2499280637,1126944.9250877176,1131086.6930963988
2021-05-19,1179063.0023888892,1132331.0575987485,1113131.4635935356,1121498.2042868612,1125950.1387120762
2021-05-20,1186929.0729227536,1140202.1345474916,1119238.4578883345,1127722.0679625855,1132819.2392640384
2021-05-21,1192733.601541687,1143899.343757617,1121658.28333926,1131814.5723917698,1135461.7266186131
2021-05-24,1195822.1899133634,1149535.459874099,1130139.0189871485,1137973.2972002176,1142884.4250150123
2021-05-25,1187733.7388159574,1145468.8838243727,1127636.3515457178,1135276.108666106,1139252.2415297874
2021-05-26,1191704.0100934508,1144531.3672985588,1129829.4068316799,1135626.4885652855,1139998.5295047646
2021-05-27,1202898.8128992252,1146756.8167505034,1132252.597005785,1140311.1880140349,1143186.844638375
2021-05-28,1203829.3491751223,1145847.255408042,1133959.713437526,1142455.4716390024,1145151.444062866
2021-06-01,1213545.2798624085,1146715.5807994143,1134256.5718847804,1143972.793666434,1146688.1348512403
2021-06-02,1214448.665653465,1151533.2306028847,1135369.2761560695,1144802.2802739348,1148441.1834460327
2021-06-03,1220989.24828058,1151467.793340711,1134059.043452081,1144030.0486628697,1148447.2775229942
2021-06-04,1228145.2755114941,1159643.4966484364,1140672.659988033,1149964.1477742412,1155324.109306723
2021-06-07,1217489.7116443166,1157861.353431291,1135844.4383130427,1145790.2197609611,1151004.657990697
2021-06-08,1212426.8206708634,1156574.9037134429,1134765.6207614355,1144783.7984127828,1150043.1953991475
2021-06-09,1205689.91014732,1155215.6876945815,1130466.6514098314,1139732.1758604664,1146326.5067752344
2021-06-10,1201022.0002886408,1158367.886056257,1132446.6284154654,1140364.0487218047,1148348.4309028294
2021-06-11,1205524.7156527047,1161013.0975721395,1131695.8523915743,1140806.1917078223,1149200.9670205205
2021-06-14,1196626.681241257,1158262.2428770552,1131394.8399338913,1137965.6718169453,1146652.9555273505
2021-06-15,1195696.8182543,1155627.2647582674,1129164.4730579206,1134841.591063361,1144268.4451712526
2021-06-16,1182628.9388223244,1147181.7436961413,1121478.7479734332,1126051.9797821364,1135233.4301947996
2021-06-17,1167821.5713383278,1144667.794056619,1115443.2113858648,1119096.4670436105,1128214.4849920438
2021-06-18,1139763.0909011096,1126829.1872416383,1098930.1333701431,1101449.1330068463,1109894.6367998929
2021-06-21,1162473.8312873677,1145368.4954036118,1115168.4050269558,1120867.2361320127,1128324.9771985346
